日付,レース,予想1着枠,予想2頭,予想3頭,実際1着枠,1頭的中,2頭的中,3頭的中,レース評価,頭確度,信頼度
20160401,1,4,"4,3","4,3,1",3,0,1,1,注意,普通,低
20160401,3,6,"6,5","6,5,3",2,0,0,0,見,低い,低
20160401,4,2,"2,6","2,6,3",2,1,1,1,注意,普通,低
20160401,5,1,"1,6","1,6,2",3,0,0,0,注意,普通,低
20160401,6,3,"3,2","3,2,1",3,1,1,1,注意,普通,低
20160401,7,5,"5,6","5,6,3",1,0,0,0,注意,普通,低
20160401,8,5,"5,2","5,2,1",3,0,0,0,見,低い,低
20160401,9,4,"4,1","4,1,6",1,0,1,1,注意,普通,低
20160401,10,6,"6,5","6,5,1",1,0,0,1,見,低い,低
20160401,11,4,"4,5","4,5,2",1,0,0,0,注意,普通,低
20160401,12,6,"6,4","6,4,1",2,0,0,0,注意,普通,低
20160402,1,3,"3,2","3,2,6",1,0,0,0,注意,普通,低
20160402,2,5,"5,3","5,3,4",4,0,0,1,見,低い,低
20160402,3,3,"3,1","3,1,4",3,1,1,1,注意,普通,低
20160402,4,5,"5,1","5,1,3",2,0,0,0,見,低い,低
20160402,5,2,"2,1","2,1,5",3,0,0,0,見,低い,低
20160402,6,4,"4,2","4,2,6",5,0,0,0,注意,普通,低
20160402,7,1,"1,2","1,2,5",2,0,1,1,注意,普通,低
20160402,8,3,"3,6","3,6,4",3,1,1,1,注意,普通,低
20160402,9,2,"2,5","2,5,3",4,0,0,0,注意,普通,低
20160402,10,2,"2,5","2,5,1",1,0,0,1,見,普通,低
20160402,11,2,"2,1","2,1,4",1,0,1,1,注意,普通,低
20160402,12,1,"1,5","1,5,6",1,1,1,1,注意,普通,低
20160403,1,1,"1,6","1,6,2",3,0,0,0,注意,普通,低
20160403,2,4,"4,5","4,5,1",4,1,1,1,注意,普通,低
20160403,3,4,"4,1","4,1,3",6,0,0,0,注意,普通,低
20160403,4,4,"4,3","4,3,6",3,0,1,1,注意,普通,低
20160403,6,6,"6,2","6,2,3",1,0,0,0,見,低い,低
20160403,7,1,"1,5","1,5,4",1,1,1,1,注意,普通,低
20160403,8,5,"5,3","5,3,2",2,0,0,1,注意,普通,低
20160403,9,6,"6,5","6,5,2",2,0,0,1,見,低い,低
20160403,10,3,"3,6","3,6,5",2,0,0,0,見,低い,低
20160403,11,2,"2,4","2,4,5",1,0,0,0,注意,普通,低
20160403,12,4,"4,1","4,1,6",1,0,1,1,見,普通,低
20160404,1,4,"4,3","4,3,6",6,0,0,1,注意,普通,低
20160404,2,1,"1,3","1,3,2",1,1,1,1,注意,普通,低
20160404,4,6,"6,3","6,3,5",5,0,0,1,見,低い,低
20160404,5,1,"1,5","1,5,4",2,0,0,0,注意,普通,低
20160404,6,3,"3,5","3,5,6",2,0,0,0,注意,普通,低
20160404,7,1,"1,6","1,6,3",1,1,1,1,注意,普通,低
20160404,8,1,"1,4","1,4,6",2,0,0,0,注意,普通,低
20160404,10,2,"2,4","2,4,6",3,0,0,0,注意,普通,低
20160404,11,2,"2,3","2,3,5",1,0,0,0,注意,普通,低
20160404,12,3,"3,1","3,1,2",1,0,1,1,注意,普通,低
20160412,2,6,"6,2","6,2,5",4,0,0,0,注意,普通,低
20160412,3,3,"3,6","3,6,5",6,0,1,1,見,低い,低
20160412,4,3,"3,6","3,6,1",3,1,1,1,注意,普通,低
20160412,5,3,"3,5","3,5,6",3,1,1,1,注意,普通,低
20160412,6,4,"4,3","4,3,2",2,0,0,1,注意,普通,低
20160412,7,1,"1,4","1,4,3",1,1,1,1,注意,普通,低
20160412,8,6,"6,5","6,5,4",4,0,0,1,見,低い,低
20160412,9,2,"2,3","2,3,5",1,0,0,0,見,普通,低
20160412,11,6,"6,5","6,5,4",1,0,0,0,見,低い,低
20160412,12,5,"5,1","5,1,3",1,0,1,1,注意,普通,低
20160413,1,2,"2,6","2,6,5",4,0,0,0,注意,普通,低
20160413,2,5,"5,6","5,6,4",4,0,0,1,見,低い,低
20160413,3,5,"5,4","5,4,2",3,0,0,0,注意,普通,低
20160413,4,4,"4,5","4,5,6",1,0,0,0,注意,普通,低
20160413,5,2,"2,4","2,4,3",3,0,0,1,注意,普通,低
20160413,6,6,"6,3","6,3,2",2,0,0,1,見,低い,低
20160413,7,1,"1,5","1,5,6",1,1,1,1,注意,普通,低
20160413,8,6,"6,5","6,5,3",2,0,0,0,見,低い,低
20160413,9,2,"2,4","2,4,6",1,0,0,0,注意,普通,低
20160413,10,5,"5,2","5,2,6",3,0,0,0,注意,普通,低
20160413,11,6,"6,5","6,5,4",1,0,0,0,見,低い,低
20160413,12,5,"5,6","5,6,1",1,0,0,1,注意,普通,低
